title,body,label,lide
 É  que Tite prestou homenagem em túmulo de Fidel Castro,"Apesar da semelhança física, foto que circula pelas redes sociais mostra visita de Miguel Díaz-Canel, presidente de Cuba, ao local",1,
 É  que esposa do CEO da Pfizer morreu por complicações da vacina da Covid-19,"Myriam Bourla esteve em evento em 10 de novembro, mesmo dia em que supostamente teria morrido",1,
 É  que Lula foi vaiado em encontro de movimentos sociais,"Montagem utiliza áudio de vídeo gravado em 2018, quando petista fazia caravana pelo Brasil",1,
 É  que Lewis Hamilton elogiou Bolsonaro para o New York Times,Automobilista britânico já manifestou apoio aos protestos contrários ao presidente brasileiro,1,
 É antigo áudio de queda de avião que está sendo atribuído ao acidente de Marília Mendonça,"Registro que circula pelas redes sociais é de 2006, quando um jato Legacy colidiu com um avião da Gol no Mato Grosso",1,
 É  que China está enviando centenas de pessoas para acampamentos de Covid-19,Imagens que circulam nas redes sociais mostram confinamento por conta de novos casos da doença em Pequim,1,
"Nas redes sociais, Auxílio Brasil gera dúvidas sobre valor e quem pode receber o benefício ", Medida provisória assinada por Bolsonaro criou novo programa de repasse de renda e revogou Bolsa Família,0,
 Morte de crianças africanas em escola não está relacionada à vacinação contra Covid-19,Gravação é anterior à imunização contra a doença; 14 estudantes morreram pisoteados durante tumulto em uma unidade de ensino no Quênia,1,
" É  que o número de mortes por Covid-19 na Itália é 97,1% menor do que mostram dados oficiais",Relatório que detalhou o número de vítimas da doença que já tinham comorbidades quando foram infectadas foi interpretado de forma equivocada,1,
 É montagem foto de faixa pedindo doação de órgãos de crianças em posto de vacinação,Imagem original indica que a imunização contra a Covid-19 está acontecendo no local e não é necessário agendar horário,1,
 É  que presidente da Croácia disse que população no país não será mais vacinada,Alegações foram distorcidas de uma fala à imprensa; sites oficiais do governo croata continuam com informações sobre a vacinação no país,1,
 Aeronaves em foto não são ‘jatinhos dos líderes socialistas mundiais’ na COP26,"Imagem original é de 2013 e foi registrada em Nova Orleans, nos Estados Unidos; na época, cidade sediou o tradicional Super Bowl",1,
"Com ‘No epicentro’, Lupa está entre os três finalistas em Inovação do Prêmio Gabo 2021","Ganhadores serão conhecidos em cerimônia virtual do Festival Gabo nº 9, no dia 18 de novembro",0,
 É  que Jean Wyllys desapareceu após ser intimado para depor no caso Adélio,"Político mora em Barcelona, na Espanha, conforme mostra em publicações recentes feitas em seu perfil no Instagram",1,
"Na COP26, ministro usa dado  sobre meta climática do Brasil","Joaquim Leite emula antecessor, Ricardo Salles, e faz ligação inexistente entre floresta e pobreza",0,
 É  que Eduardo Bolsonaro apanhou em vídeo que circula pelas redes sociais,Homem que aparece na gravação é advogado que representa shopping center em Pernambuco,1,
 É  que CEO da Pfizer foi preso pelo FBI por fraude em dados da vacina,"Executivo apareceu em entrevistas em 5 de novembro, mesmo dia em que supostamente teria sido detido nos Estados Unidos",1,
"‘Os checadores de fatos não vão desistir’, afirma diretora da Lupa em premiação internacional",Natália Leal recebeu na noite desta terça-feira (9) o Prêmio Knight Internacional de Jornalismo de 2021 do Centro Internacional Para Jornalistas,0,
 Marília Mendonça não publicou nenhum tuíte recente sobre sonho com cachoeira e avião,"Dias antes do acidente fatal da última sexta (5), artista não postou nenhum conteúdo similar ao que circula pelas redes sociais",1,
 É falsa interação no Twitter entre ‘perfis oficiais’ de Bolsonaro e Lula, Não houve conversa entre adversários na plataforma; assessoria de imprensa do petista negou publicação ,1,
 Homem que acusa governos petistas de aparelhamento do STF não é ex-ministro Eros Grau,"Pessoa que aparece no vídeo é o religioso Caio Fábio; ex-ministro citado na gravação aposentou-se compulsoriamente em 2010, ao completar 70 anos",1,
 Avião que aparece caindo em vídeo viral não é o de Marília Mendonça,"Gravação original é de 2012 e mostra um acidente ocorrido com um bimotor em Jundiaí, no interior de São Paulo",1,
 É  que Catraca Livre acusou governo Bolsonaro de causar acidente de Marília Mendonça,Conteúdo foi publicado por perfil satírico; Catraca Livre não tem qualquer relação com conta que fez o tuíte,1,
 Chineses não soltaram milhares de pássaros ‘criados em laboratório’ no mar para disseminar vírus,"Gravação é antiga, de 2017, e mostra corrida de pombos em Taiwan, onde prática é popular",1,
 É  que ex-presidente Lula está proibido de sair do Brasil,Vídeo antigo sobre decisão de 2018 voltou a viralizar; petista teve o passaporte apreendido durante uma semana ,1,
 É  que Ana Hickmann disse que Bolsonaro é seu candidato para 2022,Assessoria de imprensa da apresentadora nega autoria de frase que circula pelas redes sociais,1,
 É  que detentos agora cantam hino nacional em presídio administrado por Exército e PF, Vídeo foi gravado em presídio do Ceará administrado pelo governo estadual,1,
 Vídeo atribuído a colaboradores da Gol usa informações falsas sobre vacinas da Covid-19,"Conteúdo questiona eficácia e segurança dos imunizantes, mas ambas foram atestadas pela Anvisa, após análise rigorosa",1,
 PT não publicou ‘plano de dominação comunista’ em 2015,Documento que norteou discussões de evento do partido recebeu interpretações distorcidas; trechos citados não fazem parte de carta oficial,1,
 É  que TV portuguesa afirmou que Bolsonaro é o líder mais respeitado do mundo,Gravação original foi exibida em site bolsonarista; principais emissoras de Portugal não veicularam nenhuma reportagem recente elogiando presidente brasileiro ,1,
 É  que deputado petista propôs projeto de lei que dá descontos para homens gays,Não existe nenhum parlamentar do PT com o nome João Flores; número do PL citado é de proposta que altera Código de Processo Penal e não sobre questões de gênero,1,
 É  que Pfizer patenteou sistema de rastreamento de vacinados por micro-ondas,"Registro estadunidense não tem relação com a empresa, nem fala de monitoramento por meio da vacina contra a Covid-19",1,
 Sócios italianos não pediram explicações à Fiat sobre demissão do jogador de vôlei Maurício Souza,"Valor de mercado da Stellantis, multinacional que detém a fabricante, aumentou em outubro; conglomerado automotivo negou ter sido questionado",1,
"Lupa reformula Contexto, e membros passam a ter mais benefícios",Mudanças foram desenhadas a partir de pesquisa com audiência para ampliar combate à desinformação,0,
"Ao celebrar 6 anos, Lupa traz mudanças no Contexto e novos programas de formação",Plataforma amplia seu programa de membros e lança treinamentos para estudantes e profissionais,0,
 Vídeo que mostra furto de botijões de gás é antigo e não foi gravado na Argentina,"Gravação exibe cenas de arrombamento de centro de distribuição em Santiago, no Chile, em outubro de 2019 ",1,
 É antigo vídeo em que Lula diz que não deve se candidatar à Presidência em 2022,"Declaração foi dada em abril de 2020; em entrevistas recentes, ex-presidente colocou-se à disposição para participar do pleito",1,
 É  texto que anuncia fórmula infantil com hormônios para ‘bebês transgêneros’,Produto não existe; texto compartilhado no WhatsApp foi criado por um site humorístico chamado The Babylon Bee,1,
