title,body,label,lide
Ministério da Saúde confirma 11 casos da variante ômicron no Brasil ,,0,
17 estados não divulgam vacinação; 9 estados e DF não atualizam mortes,,0,
Governo diz que recuperou dados sobre vacinação após ataque hacker,,0,
Mãe e filha morrem soterradas na Bahia; nº de vítimas sobe para 7,,0,
"'Deixa tudo aí, a vida é o mais importante': o desespero de moradores",,0,
Equipe da TV Bahia é agredida por seguranças e apoiadores de Bolsonaro ,,0,
Atlético-MG goleia Athletico-PR por 4 a 0 no jogo de ida da final,,0,
Chuva deixa Rio em atenção; sirenes tocam em 26 comunidades,,0,
"Morre aos 80 anos Anne Rice, autora de 'Entrevista com o vampiro'",,0,
Reino Unido amplia vacinação de reforço para conter variante ômicron,,0,
Novo Enem? O que pode mudar com a reforma do ensino médio,,0,
"Vicente Fernández, lenda da música mexicana, morre aos 81 anos",,0,
Jovem cria app para conectar pessoas com cabelo afro e especialistas,,0,
"'É obrigação respeitar', diz mulher trans após superar rejeição e preconceito ",,0,
"'Milagre', diz piloto que sobreviveu após asa de avião quebrar",,0,
BH faz 124 anos: veja programação para o aniversário da cidade,,0,
Polícia encontra caixão recheado de drogas a caminho do Paraná,,0,
Aluna da USP é 1ª brasileira preta a ganhar bolsa de agência nuclear ,,0,
Sequestro de carbono ou carbono zero? Entenda termos do mercado de carbono,,0,
"Conheça o 'Pantanal Fluminense', área ultrapreservada da Baía de Guanabara",,0,
Empresários faturam com vídeos em quadras de beach tennis,,0,
Pequenos negócios apostam no modelo 'figital'; entenda como funciona,,0,
Argentina adotará passaporte sanitário para grandes eventos a partir de janeiro ,,0,
Ministério da Saúde diz que foram identificados 11 casos confirmados para a variante ômicron,,0,
"Há boa vontade da Câmara em vincular espaço fiscal aberto com a PEC dos Precatórios para fins sociais, diz Lira",,0,
O que explica série de violentos tornados nos EUA,,0,
Festival de luzes de Natal do Parque do Ibirapuera registra aglomeração e gente sem máscara neste domingo,,0,
Grupo Art Popular promove 'Batuque de magia',,0,
"Criminosos atiram contra bar em Itaboraí e matam três homens, entre eles PM ex-vereador",,0,
Fuvest 2022: dificuldade da 1ª fase divide opiniões de estudantes em São Carlos; veja os relatos,,0,
Bienal do Rio termina com mais de 2 milhões de livros vendidos,,0,
"Após decisão de Barroso, governo diz que deve editar portaria com alterações exigidas pelo STF",,0,
LP completa 70 anos no Brasil com vigor impensável na era da música digital,,0,
Presidente sul-africano testa positivo para a Covid-19,,0,
Primeiro-ministro britânico alerta para 'forte onda' de covid com ômicron,,0,
Fuvest 2022: Candidatos consideram 1ª prova de média dificuldade e destacam questões sobre pandemia e letra de Emicida,,0,
"Fenômenos meteorológicos extremos são o 'novo normal' nos EUA, diz especialista",,0,
"Presidente do Haiti estava investigando autoridades ligadas ao tráfico de drogas quando foi morto, diz NYT",,0,
Israel sedia final do Miss Universo apesar dos pedidos de boicote,,0,
"Equipe da TV Bahia, afiliada da Globo, é agredida por seguranças e apoiadores de Bolsonaro ",,0,
"Chuva forte deixa vários bairros de SP em estado de atenção neste domingo, segundo o CGE",,0,
Corpo de Monarco é sepultado no Cemitério de Inhaúma,,0,
Sobreviventes de tornado no Kentucky vasculham destroços em cenário de destruição,,0,
"Fuvest 2022: 1ª fase é realizada neste domingo (12) em Ribeirão Preto, SP; FOTOS",,0,
Busca desesperada por sobreviventes continua após devastação dos tornados nos EUA,,0,
"Fuvest 2022: Entrada para a prova tem ‘balada’, torcida de professores e apoio dos pais em Ribeirão Preto",,0,
"Jovem é atropelado e arrastado por carro durante briga em Caxias, RJ",,0,
"Astro da música latina, Vicente Fernández morre aos 81 anos",,0,
"Aos 8 anos, brasileiro com alto QI fica entre as 100 crianças-prodígio do mundo em premiação",,0,
"Estado de saúde de adolescente baleado na Serrinha, Zona Norte do Rio, é gravíssimo",,0,
Por que África tem enviado toneladas de celulares quebrados para Europa,,0,
Entenda decisão de Barroso sobre passaporte da vacina a viajantes,,0,
Estudantes temem questões de exatas da 1ª fase da Fuvest: 'não tem aquele negócio de chutar',,0,
Reino Unido anuncia novas medidas para enfrentar variante ômicron,,0,
FOTOS: Veja imagens dos danos causados por passagem de tornados nos EUA,,0,
"Após vazamento de gás, prédios desabam na Itália e deixam 3 mortos",,0,
Polícia Rodoviária apreende droga escondida em caixão dentro de carro funerário,,0,
Entenda o que é o mercado de carbono,,0,
